Team,CTF points,Rating points
320,The Prependers,111
321,zjh2857,111
322,CyberCat,111
323,ddddhm,111
324,bruh,111
325,1u1u,111
326,Unicorn CTF,111
327,daninnm,111
328,IIT(BHU)CyberSec,111
329,1uciph3r,111
330,pattern,111
331,flag{}___Orz,111
332,zoro20,111
333,InfoSecIITR,111
334,vubar,111
335,paulie,111
336,Gaffaoverflow,111
337,0xPolpettOwn,111
338,RescueMe,111
339,alek,111
340,amelkiy,111
341,Root Lee,111
342,ouowowuwu,111
343,stankc,111
344,cby234,111
345,F03v3ryY0ung,111
346,CangHaiWraINd,111
347,c00c00r00c00,111
348,N30Z30N,111
349,mcb,111
350,ri5e,111
351,GOBBLES,111
352,x2w,111
353,NotHotdog,111
354,TeamWBH,111
355,OverDover,111
356,Cat Training Force,111
357,YabbaDoo,111
358,nurga,111
359,cew,110
360,c0d3_h4cki05_,110
361,I do not like anime,110
362,SBR,110
363,BOKO,110
364,DoR,110
365,anonymans,110
366,profdracula,110
367,kaftejiman,110
368,Teddy Heinen,110
369,badfirmware,110
370,n00bzx,110
371,yoyosammy,110
372,binanNo1,110
373,w0ooo,110
374,h4ck7u5,110
375,n0t3amn@m3,110
376,babar,108
377,Unchosen,108
378,Vox Dei,108
379,wombats.edu,108
380,score_gazer,108
381,MonkeyClicker Team,108
382,BisonSquad,108
383,Flaggermeister,108
384,UMDCSEC,108
385,RinkoQwQ,108
386,3webdogs,108
387,Hacklava,108
388,tk,108
389,A1ertx5s,108
390,paradox,108
391,QSFH,108
392,AcKi,108
393,[ ],108
394,kermitliver,108
395,ROKhong,108
396,CTF{Runn3rs},108
397,s0cbr0s,108
398,CAT-Security,108
399,datsoa,108
400,zumwalt,108
401,gamnabit,108
402,xpenqz,108
403,R4inbow_Unicorn$,108
404,aplayground,108
405,Omaviat,108
406,PLS-SEC,108
407,Immortals,108
408,Octet mignonne,108
409,Stallions,108
410,GCI Gophers,108
411,BisonCS,108
412,LeonT,108
413,TourRadar,108
414,potato-jackson,108
415,INGRESSIVE,108
416,BlackPwned,108
417,lololo,108
418,SaudiPattern,108
419,KapiSec,108
420,Stack,108
421,DSUCyber,108
422,psi beta rho,108
423,hereforfun,108
424,X5tar,108
425,0x01DA,108
426,!LE37,108
427,Area{51},108
428,p0x82s,108
429,ACCE55_DE21ED,108
430,0x0d1n,108
431,ARU Ethical Hacking Society,108
432,bobsleigh,108
433,Myanmar,108
434,lAvengersl,108
435,xinruk-hyrla-alex-raeura,108
436,HappyHackerHour,108
437,mn3rd,108
438,Krosse Flagge,108
439,Batch File,108
440,ML Cyber,108
441,InSecSquad,108
442,shou,107
443,solomio,107
444,kanyewest,107
445,Rezkon,107
446,horumon,107
447,DISC,107
448,yyys,107
449,no_sql,107
450,bot3310,107
451,fractal,107
452,REDF,107
453,uallerhack,107
454,l0r3m1psum,107
455,ws1004,107
456,sudovonctfuadec,107
457,r4nd0m1z3,107
458,smokingdodo,107
459,Foz,107
460,banana,107
461,I_L0ve_Sp0rts,107
462,ru7ynk4,107
463,P4H,1
464,Antivirus,1
465,REiNAgar,1
466,test213,1
467,The PPPP's,1
468,abcdefghijklmnopqrstuvwxyz,1
469,Mental_Hospital,1
470,4hsl33p,1
471,WaffleBot3000,1
472,BWbw,1
473,ButterOverflow,1
474,LJB,1
475,conoz,1
476,";echo"hacked"""echo"ha""ch",1
477,Tanked402,1
478,PRINCESSES OF REDPWN,1
479,JamesC,1
480,ROP,1
481,Adige,1
482,Tompkins CyberSec,1
483,St0rm Club,1
484,zacfmhill,1
485,OnlyFeet,1
486,Sudoers,1
487,ShamenDubon,1
488,Literal Dips,1
489,logaritm,1
490,Team Private Group,1
491,Opps,1
492,HypeNah,1
493,The Connections,1
494,cyul8r,1
495,ronen8231,1
496,W0lv3s,1
497,Are5,1
498,easy_p,1
499,Driadixa@yandex.ru,1
500,DARK-MEN,1
501,time do tom,1
502,Club of Very Responsible Individuals,1
503,APA Razi,1
504,oliver,1
505,ikasten,1
506,InfOUSec,1
507,one two three,1
508,DDHC,1
509,We-C-U from GMU,1
510,haxx0r,1
511,ViperCTF,1
512,noname$$$,1
513,Koxinga,1
514,blak9,1
515,Ch33syCr4ck3rs,1
516,SFFI,1
517,Strix Goldhorn,1
518,Manzara's Magpies,1
519,Applied Cybersecurity Society @ PWSH,1
520,lost+found,1
521,forty-two,1
522,TheDarkOrder,1
523,Cyber Blob Force,1
524,arthollow,1
525,Verdugo Hills,1
526,Starlight Defenders,1
527,El Rayo,1
528,soup,1
529,ladybug,1
530,n4s1R,1
531,Teacup,1
532,VIKiN9Z,1
533,rolling_two_dice,1
534,Bassabar,1
535,Rootless,1
536,mweaver,1
537,HackForce,1
538,Kza,1
539,lambdax,1
540,SK3LLY,1
541,bob_ctf,1
542,tj-blockchain,1
543,Miami Breeze,1
544,Python Waifu,1
545,aephus,1
546,HowsWeather,1
547,nog642,1
548,0xdeadbeef-TNT,1
549,Vrethern,1
550,fzhshzh,1
551,OmahTI,1
552,C521,1
553,0x325,1
554,unaff_EBP,1
555,turbo-d,1
556,GUITARS,1
557,RFGHOST,1
558,Richard Stallman Fan Club,1
559,sniper,1
560,PantherSec,1
561,St4rt fr0m Zer0,1
562,Diceoids,1
563,Cyber Chicken,1
564,bazinga-sicherheit,1
565,Pwning from 127::1,1
566,just one dude,1
567,Hom3r^3,1
568,ctfChallengers,1
569,dfoo,1
570,NiceBoat,1
571,0 Hour Energy,1
572,MLCTF,1
573,taX,1
574,cafce25,1
575,BadtothePwn,1
576,ikbalvult,1
577,Flags as a Service,1
578,Hi-iro,1
579,South Squad,1
580,team_kumo,1
581,Egg Heads,1
582,Nimon,1
583,who@mI,1
584,MICHIZANE,1
585,GanSw,1
586,swag,1
587,kwkt n daikon (Sun* AI),1
588,CEPHALOPOD EXPRESS,1
589,N3wb5 Pwn,1
590,U01T,1
591,PersianCats,1
592,phionify,1
593,DownToHuck,1
594,Mason Competitive Cyber,1
595,altair,1
596,zxd7190,1
597,etc0202,1
598,Hootoh,1
599,Cooper,1
600,Foxes,1
601,omicronctf,1
602,ZHY,1
603,ccz_Ju5t_w4nt_f1@g,1
604,Orga,1
605,Ryan A's Team,1
606,Blue Hens,1
607,CTF Community,1
608,KingofmyQueen,1
609,Overclockedbrains,1
610,Isaac,1
611,AMAZONE,1
612,lampicka,1
613,Colonial White Hats,1
614,RipperRoot,1
615,karipap,1
616,Terminal Cats,1
617,corn_starch,1
618,Hax,1
619,SodaOverflow,1
620,tHe_pLebS,1
621,Red Knights,1
622,c0nfusedtrashbear,1
623,FantasqueX,1
624,L34K3D,1
625,Xapy,1
626,very good team name,1
627,reg_u_l8r,1
628,the_flag,1
629,Karimata,1
630,hogemaru,1
631,Baomike,1
632,Flag{Sign_in},1
633,RKTEAM,1
634,Silver Catalysts,1
635,teamisbad,1
636,Pie73,1
637,bukan bandar,1
638,junior,1
639,A is for Audit,1
640,jueygrace,1
641,Shadow Stalkers,1
642,pureSec,1
643,Tf&test,1
644,DBFC,1
645,Knights of the Routing Table,1
646,Team Gr4y,1
647,ssta,1
648,Slonser,1
649,hardcode,1
650,h0lysh1t,1
651,AIE CTF,1
652,darkbasha,1
653,Yuk1k4z3,1
654,The Elders of Zion,1
655,Lions,1
656,Mountain,1
657,0ni0n_3at3r,1
658,kokokaka,1
659,ANSI_CODE1337,1
660,NeuralBots,1
661,YameTea,1
662,SQoala Injection,1
663,Martial_Law_Enforcer,1
664,happys,1
665,PhussBabies,1
666,Evil Society of Evil and Doom,1
667,debug,1
668,test164c,1
669,H@r3Kr1,1
670,One of the Dummiest,1
671,Anish,1
672,LemonPrefect,1
673,Escalope,1
674,NOOBS_OP,1
675,The Cryptors,1
676,0x90skids,1
677,PatanjaliHax,1
678,D4rk Sid3,1
679,NiceWay,1
680,7M,1
681,M0nx,1
682,Powered By Coffee,1
683,YellowHatN00bs,1
684,Hijos,1
685,GRAIL TEAM,1
686,/roott,1
687,xrzhev,1
688,kx,1
689,this_t34m_ha5_n0_nam3,1
690,Lusserud,1
691,ECPI,1
692,p4n1c,1
693,__MAYAJAAL__,1
694,cyb3rL4b5,1
695,NCTOP,1
696,TeamCarRamRod,1
697,nosinsoigo95,1
698,pseudosci,1
699,Crib_Warrior,1
700,tnkdkndkn92,1
701,ruski_haker,1
702,166,1
703,Fu1lc0n-,1
704,DecSec,1
705,HITCONGIRLS,1
706,XploiT,1
707,daHello,1
708,Velocihacker,1
709,c1p@rr,1
710,M@nt!s,1
711,Slow Coders,1
712,Pied_Piper,1
713,itamarmaouda101,1
714,ciscomerry,1
715,ikeario,1
716,ReFiOc,1
717,panda,1
718,h45e,1
719,Sakura501,1
720,Z3r01,1
721,idkCTF..,1
722,ebin_l33t_h4x0rm4n5_dab,1
723,ttr,1
724,kshine,1
725,R3d $trik3,1
726,C4ptch4_Th3_Fl4g,1
727,JetJ,1
728,@[add_text_here],1
729,JaniNa,1
730,dmssm,1
731,WYE,1
732,Closers,1
733,Qu3tz4lc04tl,1
734,n0m4z,1
735,anishde85,1
736,Outora,1
737,XY,1
738,turtle_hermits,1
739,Karaelmas Black Team,1
740,v3ntur3sity,1
741,Zyrfex,1
742,We Got This,1
743,M0l1n1ll0,1
744,nord,1
745,newbie,1
746,[0x01d5]WWW,1
747,kkk,1
748,CcccC,1
749,alone3l3phant,1
750,HackInProvence,1
751,KIMDY,1
752,G4mbit420,1
753,0x55434c,1
754,jjtnuuuuuuun,1
755,0xops,1
756,WaletSec,1
757,poigiatre,1
758,BlackSecurity,1
759,rookie,1
760,AsturiesCTF,1
761,S3cuR1tY_J0k3r$,1
762,Haar,1
763,serverhamsters,1
764,gom8,1
765,x0rc3r3rs,1
766,Class3E,1
767,lowlife_pie,1
768,BaguetteCramee,1
769,Rand00m,1
770,cipher,1
771,GUI,1
772,R4inBow,1
773,Veanu_Idiots,1
774,jgsleepwithme,1
775,4141414141,1
776,League of Shadows,1
777,2001,1
778,GrüberliOPENCTF,1
779,Alonymous,1
780,ondrca_team,1
781,hugore,1
782,Mit-Team-Tr,1
783,cacadu27,1
784,SkidSociety,1
785,nurls,1
786,roughpaper,1
787,Firebaskyupup,1
788,frazy,1
789,sf,1
790,Pwned_,1
791,SadPlace1337,1
792,PallasAthenaCTF,1
793,b00t_Error1890,1
794,ANON-XT,1
795,A-10,1
796,CYberMouflons,1
797,k0kos,1
798,Hipo,1
799,P41M0N,1
800,Ammas_Hackers,1
801,SOSU_v_CTF,1
802,alon3_for3v3r,1
803,The Keepers,1
804,VetCon,1
805,couldn't think of a name,1
806,HEHEHE,1
807,N00b,1
808,KOREASEXYASS,1
809,Esisar2A,1
810,Zoomers,1
811,Hopefully,1
812,Koying,1
813,Razr,1
814,S0l0Act,1
815,PeakyBlinders,1
816,s0ye0ve,1
817,eeqqqeqw,1
818,wisteria,1
819,pirates247,1
820,Team_Matrix,1
821,aseians,1
822,screwtopkittens,1
823,BortecineSec,1
824,baksten,1
825,U+1F966,1
826,Em0t3t,1
827,Tamil CTF,1
828,k3rb3r0s_disk,1
829,MuchWow,1
830,0xf4wk3s,1
831,Cancit Panton,1
832,"me, me, myself, me and I",1
833,Racoon,1
834,7U2K1,1
835,LehAnne,1
836,TeamR0ck3t,1
837,WeSux,1
838,Cla55N0tF0und,1
839,webborn,1
840,Klutz,1
841,WIC (Welfare is Cool),1
842,randomteam,1
843,bruhMOMENT,1
844,friWolf#3,1
845,psych0social_engin33ring,1
846,taruscript,1
847,b1rds_of_pr3y,1
848,Watch4Hack,1
849,ReverseEntropy,1
850,hukeln,1
851,All Your Flags,1
852,something clever,1
853,L0n3wo0f,1
854,LIT LOGIN,1
855,Turing - ITBA,1
856,carex_ctf_team,1
857,r5,1
858,MyMe,1
859,d40n3666,1
860,Fr_ctfer,1
861,Z3Ro,1
862,GameStonk,1
863,judgmental_fish,1
864,b4k3r_str33t,1
865,MajorLefty22,1
866,brigante,1
867,s0r3l0s3r,1
868,DennisForeverAlone,1
869,gk,1
870,SIA,1
871,Pizz'hack,1
872,ghada7kin,1
873,L3pr3ch4un,1
874,Hackers N' Hops,1
875,Expl0r3_Ev1d3nCe5,1
876,David122,1
877,hamchouche,1
878,PwnLand,1
879,jackdaw,1
880,ex0gen,1
881,alicio,1
882,PlzDon'tBeLast,1
883,h4ck.club,1
884,YAD1,1
885,neverlucky,1
886,4k3l4rr3,1
887,Slab Allocator,1
888,Hexspeak,1
889,Wooshi,1
890,N3wBi3,1
891,MabaSec,1
892,GeeseWithTeeth,1
893,s3c_g33k,1
894,sketchedReflection,1
895,Cronus,1
896,HayatoY,1
897,Sky2Pwn,1
898,EvilRoot,1
899,B34nB01z,1
900,-rm rf,1
901,50MB!@!@,1
902,yash03,1
903,whitehathacker,1
904,Delta,1
905,exntrc,1
906,croucroute,1
907,HackLabGirls,1
908,Anon_Linux,1
909,I am a cat,1
910,Dokko,1
911,mrwhite,1
912,CarpeDien,1
913,UIT.SoloQ,1
914,Come to Learn,1
915,xD,1
916,b00m_b0t,1
917,Teamm,1
918,0b1ivi0n,1
919,Cedar_H4X,1
920,ONO,1
921,erikkabir,1
922,TeamOrigin,1
923,Hep15,1
924,sciclone1984,1
925,hack@unhcfreg,1
926,DipanNama,1
927,Josh,1
928,RGitex,1
929,PingTrip,1
930,Noble Team,1
931,Poison Berries Jr,1
932,mikejam,1
933,nothing,1
934,Zexele,1
935,Friendly Hacks,1
936,bora9,1
937,PEQUI_ctf,1
938,BTC_FR,1
939,NovaLurkers,1
940,NéoFrench,1
941,tomaHAWkss,1
942,n0bitz,1
943,Cyberus,1
944,gruf,1
945,suprizas,1
946,labrats,1
947,Birgit do you want me?,1
948,Janusz Janusz,1
949,eladport,1
950,Dualkem,1
951,Team Freeze,1
952,dczia,1
953,0n3P01nt,1
954,Hextraditables,1
955,SODA,1
956,Floor Jerks,1
957,devtest,1
958,CanadianTom,1
959,SoloFlagging,1
960,Weakness,1
961,5280,1
962,Nominal,1
963,CHC,1
964,rasta~warlords,1
965,gogo520,1
966,aaronsAngels,1
967,follow heart,1
968,miao,1
969,warlock_r00tx,1
970,proxysec,1
971,Hacklabor,1
972,ThePwnStars,1
973,Capri,1
974,awkwards,1
975,makabemizuki_fan,1
976,pwndumb,1
977,H4nd1k4,1
978,5upernova,1
979,pow sec!,1
980,$Dark_Warrior$,1
981,an33sh,1
982,pwnpwn,1
983,Nitro,1
984,NewbiePwner,1
985,Jayabaya,1
986,MordornFreeMan,1
987,Handy,1
988,tiger1218,1
989,Serpent,1
990,midwestCTF,1
991,LCWarriors,1
992,SUSTech_Team0,1
993,lose,1
994,gee,1
995,F4ckSoc1eTy,1
996,siren,1
997,Cr33pt0s,1
998,EZ-CTF,1
999,pepegaprocrastinators,1
1000,Niubi_team,1
1001,M4SHR0_solo,1
1002,foilv0ra,1
1003,MQCheekyNandos,1
1004,Maskirovka,1
1005,madlads,1
1006,CanCan,1
1007,RETCHAK,1
1008,krazykitty,1
1009,Far Cry,1
1010,D34D_P4Ck3T,1
1011,xx00xx,1
1012,m0re,1
1013,t3n4ci0us,1
1014,3l3v3n$,1
1015,giantmario,1
1016,Hooli,1
1017,Trentesept,1
1018,ZaIPEK,1
1019,C.rows,1
1020,Pengg0damn,1
1021,GBC,1
1022,PTZCTF,1
1023,jsutset,1
1024,Les_Enfants_terribles,1
1025,SecRipper,1
1026,FBIOpenUp,1
1027,K3RN3L4RMY,1
1028,MM0X,1
1029,Irish,1
1030,Obscurum,1
1031,blue sharks,1
1032,lnwza,1
1033,IamIn,1
1034,dysfs,1
1035,zz,1
1036,1337 hackers,1
1037,jayant11,1
1038,PKTeam,1
1039,3xpl01tTh3W0rld,1
1040,T3chV3t5-01,1
1041,dootdoot,1
1042,Topological surface,1
1043,Hacararra,1
1044,sl0ck,1
1045,idk,1
1046,klay patties,1
1047,Sunnies Club,1
1048,Ug0tpwnd,1
1049,Hamad,1
1050,ThePresident$PWN,1
1051,Small Brains,1
1052,cybermonkeys,1
1053,bfsquad,1
1054,GMO_Goat,1
1055,latent_Hackers,1
1056,bec_0n,1
1057,OrderofShadows,1
1058,Wizards,1
1059,Unicorns of Security,1
